Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Page_Sign in to your account/input_Sign in_idSIButton9""))",Chrome 118.0.0.0,,,2023-11-02 12:35:26,2023-11-02 12:35:34,7.867s,PASSED
"click(findTestObject(""Object Repository/Page_Apps - Dynamics 365/div_Sales Team MemberTeam Member access to _92f2a0""))",Chrome 118.0.0.0,,,2023-11-02 12:35:34,2023-11-02 12:35:57,22.718s,PASSED
closeBrowser(),Chrome 118.0.0.0,,,2023-11-02 12:35:57,2023-11-02 12:35:59,1.548s,PASSED
,,,,,,,
Test Cases/Improve group sandbox/navigate to opportunity,Chrome 118.0.0.0,,,2023-11-02 12:39:37,2023-11-02 12:41:01,1m - 23.645s,PASSED
"openBrowser("""")",Chrome 118.0.0.0,,,2023-11-02 12:39:37,2023-11-02 12:39:40,2.888s,PASSED
"navigateToUrl(""https://login.microsoftonline.com/5962d1ad-6415-4cb2-be1f-0a8eb0738701/oauth2/authorize?client_id=00000007-0000-0000-c000-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid+profile&state=OpenIdConnect.AuthenticationProperties%3dMAAAAJuRwNptVRHui8UAIkgoLxtiDR72xemKGiQtVno7Y9cddPSyadFN-yt9EaVTRhRVLAEAAAABAAAACS5yZWRpcmVjdCRodHRwczovL2lnLXNhbmRib3guY3JtLmR5bmFtaWNzLmNvbS8%26RedirectTo%3dMAAAAJuRwNptVRHui8UAIkgoLxsIpB2wm%252behUpsJJrDAl3wnWba7gA8ouEjACI7q%252bSzRnWh0dHBzOi8vaWctc2FuZGJveC5jcm0uZHluYW1pY3MuY29tLw%253d%253d%26RedirectToForMcas%3dhttps%253a%252f%252fig-sandbox.crm.dynamics.com%252f&nonce=638345051644984248.OTM2ZDEzNzgtOGUzYi00NGUyLTk0NzUtNDI0N2FmZTZkYjgzNTU0ZmVmNDgtZDJjMi00Y2QwLWE5MWItY2VkOWVhNmI1MjY4&redirect_uri=https%3a%2f%2fbn1--namcrmlivesg645.crm.dynamics.com%2f&max_age=86400"")",Chrome 118.0.0.0,,,2023-11-02 12:39:40,2023-11-02 12:39:42,2.050s,PASSED
"setText(findTestObject(""Object Repository/Page_Sign in to your account/input_Sign in_loginfmt""), ""anshu@binmile.com"")",Chrome 118.0.0.0,,,2023-11-02 12:39:42,2023-11-02 12:39:45,2.520s,PASSED
"click(findTestObject(""Object Repository/Page_Sign in to your account/input_Sign in_idSIButton9""))",Chrome 118.0.0.0,,,2023-11-02 12:39:45,2023-11-02 12:39:45,0.475s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Sign in to your account/input_Enter password_passwd""), ""fbLyEXJQlq0lCP8/IajhPA=="")",Chrome 118.0.0.0,,,2023-11-02 12:39:45,2023-11-02 12:39:48,3.130s,PASSED
"click(findTestObject(""Object Repository/Page_Sign in to your account/input_Sign in_idSIButton9""))",Chrome 118.0.0.0,,,2023-11-02 12:39:48,2023-11-02 12:39:51,3.234s,PASSED
"click(findTestObject(""Object Repository/Page_Sign in to your account/input_Sign in_idSIButton9""))",Chrome 118.0.0.0,,,2023-11-02 12:39:51,2023-11-02 12:40:12,20.396s,PASSED
"click(findTestObject(""Object Repository/Page_Apps - Dynamics 365/div_Sales Team Member""))",Chrome 118.0.0.0,,,2023-11-02 12:40:12,2023-11-02 12:40:27,14.935s,PASSED
"click(findTestObject(""Object Repository/Page_1. My Tasks  Active Projects - Dynamics 365/span_Home""))",Chrome 118.0.0.0,,,2023-11-02 12:40:27,2023-11-02 12:40:57,30.621s,PASSED
"click(findTestObject(""Object Repository/Page_1. My Tasks  Active Projects - Dynamics 365/div_Opportunities""))",Chrome 118.0.0.0,,,2023-11-02 12:40:57,2023-11-02 12:40:59,1.977s,PASSED
closeBrowser(),Chrome 118.0.0.0,,,2023-11-02 12:40:59,2023-11-02 12:41:01,1.401s,PASSED
,,,,,,,
Test Cases/Improve group sandbox/Login,Chrome 118.0.0.0,,,2023-11-02 12:41:01,2023-11-02 12:41:37,36.204s,PASSED
"openBrowser("""")",Chrome 118.0.0.0,,,2023-11-02 12:41:01,2023-11-02 12:41:02,1.701s,PASSED
"navigateToUrl(""https://login.microsoftonline.com/5962d1ad-6415-4cb2-be1f-0a8eb0738701/oauth2/authorize?client_id=00000007-0000-0000-c000-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid+profile&state=OpenIdConnect.AuthenticationProperties%3dMAAAAJuRwNptVRHui8UAIkgoLxtiDR72xemKGiQtVno7Y9cddPSyadFN-yt9EaVTRhRVLAEAAAABAAAACS5yZWRpcmVjdCRodHRwczovL2lnLXNhbmRib3guY3JtLmR5bmFtaWNzLmNvbS8%26RedirectTo%3dMAAAAJuRwNptVRHui8UAIkgoLxsIpB2wm%252behUpsJJrDAl3wnWba7gA8ouEjACI7q%252bSzRnWh0dHBzOi8vaWctc2FuZGJveC5jcm0uZHluYW1pY3MuY29tLw%253d%253d%26RedirectToForMcas%3dhttps%253a%252f%252fig-sandbox.crm.dynamics.com%252f&nonce=638345035009298041.ZTk3ZTFiYmMtNDhlZi00MjBiLWI5OTMtMjQ5NWRiOWZiNzdlZjU0ZTQyOGItODY3ZC00NzFkLWJjY2EtNTNmNzY3ZWJiYjli&redirect_uri=https%3a%2f%2fbn1--namcrmlivesg645.crm.dynamics.com%2f&max_age=86400"")",Chrome 118.0.0.0,,,2023-11-02 12:41:02,2023-11-02 12:41:04,1.772s,PASSED
"setText(findTestObject(""Object Repository/Page_Sign in to your account/input_Sign in_loginfmt""), ""developer@improvegroup.net"")",Chrome 118.0.0.0,,,2023-11-02 12:41:04,2023-11-02 12:41:08,4.116s,PASSED
"click(findTestObject(""Object Repository/Page_Sign in to your account/input_Sign in_idSIButton9""))",Chrome 118.0.0.0,,,2023-11-02 12:41:08,2023-11-02 12:41:09,0.459s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Sign in to your account/input_Enter password_passwd""), ""sK5W0xXM7P4PcWMR5eMBjA=="")",Chrome 118.0.0.0,,,2023-11-02 12:41:09,2023-11-02 12:41:14,5.399s,PASSED
"click(findTestObject(""Object Repository/Page_Sign in to your account/input_Sign in_idSIButton9""))",Chrome 118.0.0.0,,,2023-11-02 12:41:14,2023-11-02 12:41:16,1.295s,PASSED
"click(findTestObject(""Object Repository/Page_Sign in to your account/span_Dont show this again""))",Chrome 118.0.0.0,,,2023-11-02 12:41:16,2023-11-02 12:41:16,0.941s,PASSED
"click(findTestObject(""Object Repository/Page_Sign in to your account/input_Sign in_idSIButton9""))",Chrome 118.0.0.0,,,2023-11-02 12:41:16,2023-11-02 12:41:26,9.897s,PASSED
"click(findTestObject(""Object Repository/Page_Apps - Dynamics 365/div_Sales Team MemberTeam Member access to _92f2a0""))",Chrome 118.0.0.0,,,2023-11-02 12:41:26,2023-11-02 12:41:36,9.496s,PASSED
closeBrowser(),Chrome 118.0.0.0,,,2023-11-02 12:41:36,2023-11-02 12:41:37,1.117s,PASSED
,,,,,,,
Test Cases/Improve group sandbox/navigate to opportunity,Chrome 118.0.0.0,,,2023-11-02 12:41:37,2023-11-02 12:43:07,1m - 30.193s,PASSED
"openBrowser("""")",Chrome 118.0.0.0,,,2023-11-02 12:41:37,2023-11-02 12:41:39,1.680s,PASSED
"navigateToUrl(""https://login.microsoftonline.com/5962d1ad-6415-4cb2-be1f-0a8eb0738701/oauth2/authorize?client_id=00000007-0000-0000-c000-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid+profile&state=OpenIdConnect.AuthenticationProperties%3dMAAAAJuRwNptVRHui8UAIkgoLxtiDR72xemKGiQtVno7Y9cddPSyadFN-yt9EaVTRhRVLAEAAAABAAAACS5yZWRpcmVjdCRodHRwczovL2lnLXNhbmRib3guY3JtLmR5bmFtaWNzLmNvbS8%26RedirectTo%3dMAAAAJuRwNptVRHui8UAIkgoLxsIpB2wm%252behUpsJJrDAl3wnWba7gA8ouEjACI7q%252bSzRnWh0dHBzOi8vaWctc2FuZGJveC5jcm0uZHluYW1pY3MuY29tLw%253d%253d%26RedirectToForMcas%3dhttps%253a%252f%252fig-sandbox.crm.dynamics.com%252f&nonce=638345051644984248.OTM2ZDEzNzgtOGUzYi00NGUyLTk0NzUtNDI0N2FmZTZkYjgzNTU0ZmVmNDgtZDJjMi00Y2QwLWE5MWItY2VkOWVhNmI1MjY4&redirect_uri=https%3a%2f%2fbn1--namcrmlivesg645.crm.dynamics.com%2f&max_age=86400"")",Chrome 118.0.0.0,,,2023-11-02 12:41:39,2023-11-02 12:41:41,2.554s,PASSED
"setText(findTestObject(""Object Repository/Page_Sign in to your account/input_Sign in_loginfmt""), ""anshu@binmile.com"")",Chrome 118.0.0.0,,,2023-11-02 12:41:41,2023-11-02 12:41:45,3.428s,PASSED
"click(findTestObject(""Object Repository/Page_Sign in to your account/input_Sign in_idSIButton9""))",Chrome 118.0.0.0,,,2023-11-02 12:41:45,2023-11-02 12:41:45,0.474s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Sign in to your account/input_Enter password_passwd""), ""fbLyEXJQlq0lCP8/IajhPA=="")",Chrome 118.0.0.0,,,2023-11-02 12:41:45,2023-11-02 12:41:48,2.437s,PASSED
"click(findTestObject(""Object Repository/Page_Sign in to your account/input_Sign in_idSIButton9""))",Chrome 118.0.0.0,,,2023-11-02 12:41:48,2023-11-02 12:41:50,2.785s,PASSED
"click(findTestObject(""Object Repository/Page_Sign in to your account/input_Sign in_idSIButton9""))",Chrome 118.0.0.0,,,2023-11-02 12:41:50,2023-11-02 12:42:11,20.649s,PASSED
"click(findTestObject(""Object Repository/Page_Apps - Dynamics 365/div_Sales Team Member""))",Chrome 118.0.0.0,,,2023-11-02 12:42:11,2023-11-02 12:42:22,10.939s,PASSED
"click(findTestObject(""Object Repository/Page_1. My Tasks  Active Projects - Dynamics 365/span_Home""))",Chrome 118.0.0.0,,,2023-11-02 12:42:22,2023-11-02 12:42:54,31.804s,PASSED
"click(findTestObject(""Object Repository/Page_1. My Tasks  Active Projects - Dynamics 365/div_Opportunities""))",Chrome 118.0.0.0,,,2023-11-02 12:42:54,2023-11-02 12:43:06,11.862s,PASSED
closeBrowser(),Chrome 118.0.0.0,,,2023-11-02 12:43:06,2023-11-02 12:43:07,1.567s,PASSED
